Stock Code,Name of Securities,Category,Sub-Category,Board Lot,Par Value,ISIN,Expiry Date,Subject to Stamp Duty,Shortsell Eligible,CAS Eligible,VCM Eligible,Admitted to Stock Options,Admitted to Stock Futures,Admitted to CCASS,ETF / Fund Manager,Debt Securities Board Lot (Nominal),Debt Securities Investor Type
5708,AIA GROUP N4403,Debt Securities,,"2,000",,US00131M2B87,11/03/2044,,,,,,,,,"USD 200,000",Professional
5709,TSR GEN N2110,Debt Securities,,"2,000",,XS1492594814,14/10/2021,,,,,,,,,"USD 200,000",Professional
5711,SE GLOBAL N2110,Debt Securities,,"2,000",,XS1506604088,20/10/2021,,,,,,,,,"USD 200,000",Professional
5712,SINOOCEAN N2204,Debt Securities,,"2,000",,XS1901718509,30/04/2022,,,,,,,,,"USD 200,000",Professional
5713,CISI FIN B2008,Debt Securities,,"2,000",,XS2042630355,28/08/2020,,,,,,,,,"USD 200,000",Professional
5714,CD ETDZ B2209,Debt Securities,,"2,000",,XS2039615963,03/09/2022,,,,,,,,,"USD 200,000",Professional
5715,IFC DEV N2003,Debt Securities,,"20,000",,XS1033696490,26/03/2020,,,,,,,,,"HKD 2,000,000",Professional
5716,TJLG INV N2208,Debt Securities,,"2,000",,XS2029358772,30/08/2022,,,,,,,,,"USD 200,000",Professional
5717,JINGRUI N2007,Debt Securities,,"2,000",,XS1883563972,31/07/2020,,,,,,,,,"USD 200,000",Professional
5718,JOHNSON E B2104,Debt Securities,,"2,500",,XS1042925005,02/04/2021,,,,,,,,,"USD 250,000",Professional
5719,YUZHOU N2302,Debt Securities,,"2,000",,XS1945941786,04/02/2023,,,,,,,,,"USD 200,000",Professional
5720,HYSAN MTN N2909,Debt Securities,,"2,000",,XS2044279334,04/09/2029,,,,,,,,,"USD 200,000",Professional
5721,SINOPEC N2404,Debt Securities,,"2,000",,USG82003AE76,10/04/2024,,,,,,,,,"USD 200,000",Professional
5722,CMOC CAP B2202,Debt Securities,,"2,000",,XS1942617488,01/02/2022,,,,,,,,,"USD 200,000",Professional
5723,SUZHOU CT B2209,Debt Securities,,"2,000",,XS2047811760,05/09/2022,,,,,,,,,"USD 200,000",Professional
5724,HKMC FRN N2201,Debt Securities,,"10,000",,XS1942621324,31/01/2022,,,,,,,,,"HKD 1,000,000",Professional
5725,SANDS N2308B,Debt Securities,,"2,000",,US80007RAB15,08/08/2023,,,,,,,,,"USD 200,000",Professional
5726,HLP FIN N2104,Debt Securities,,"2,000",,XS1057389600,16/04/2021,,,,,,,,,"USD 200,000",Professional
5727,SANDS N2508B,Debt Securities,,"2,000",,US80007RAF29,08/08/2025,,,,,,,,,"USD 200,000",Professional
5728,BOCOM LM N2409A,Debt Securities,,"2,000",,XS2044889595,05/09/2024,,,,,,,,,"USD 200,000",Professional
5729,BOCOM LM N2409B,Debt Securities,,"2,000",,XS2049472959,05/09/2024,,,,,,,,,"USD 200,000",Professional
5730,ZZ JLJ GP B2209,Debt Securities,,"2,000",,XS2042677315,10/09/2022,,,,,,,,,"USD 200,000",Professional
5731,AZURE NVA N2111,Debt Securities,,"2,000",,XS1511025907,01/11/2021,,,,,,,,,"USD 200,000",Professional
5732,LOGAN PPT N2406,Debt Securities,,"2,000",,XS2050914832,09/06/2024,,,,,,,,,"USD 200,000",Professional
5733,SANDS N2808B,Debt Securities,,"2,000",,US80007RAE53,08/08/2028,,,,,,,,,"USD 200,000",Professional
5734,SHA PG B2409,Debt Securities,,"2,000",,XS2049587772,11/09/2024,,,,,,,,,"USD 200,000",Professional
5736,CHAMP SIN SPCSA,Debt Securities,,"2,000",,XS1940394502,,,,,,,,,,"USD 200,000",Professional
5737,CHAMP SIN SPCSB,Debt Securities,,"2,000",,XS1946045488,,,,,,,,,,"USD 200,000",Professional
5738,CNOOC F14 N2404,Debt Securities,,"2,000",,US12591DAC56,30/04/2024,,,,,,,,,"USD 200,000",Professional
5739,CNOOC F14 N4404,Debt Securities,,"2,000",,US12591DAD30,30/04/2044,,,,,,,,,"USD 200,000",Professional
5741,SHA PG B2909,Debt Securities,,"2,000",,XS2049589042,11/09/2029,,,,,,,,,"USD 200,000",Professional
5742,STATEGRID N2405,Debt Securities,,"2,000",,USG8449WAC85,07/05/2024,,,,,,,,,"USD 200,000",Professional
5743,STATEGRID N4405,Debt Securities,,"2,000",,USG8449WAD68,07/05/2044,,,,,,,,,"USD 200,000",Professional
5744,CHANG DEV B2209,Debt Securities,,"2,000",,XS2049035657,12/09/2022,,,,,,,,,"USD 200,000",Professional
5745,CHALCO CH SGPS,Debt Securities,,"2,000",,XS2051055908,,,,,,,,,,"USD 200,000",Professional
5746,CHINA OVS N2405,Debt Securities,,"2,000",,XS1063561499,08/05/2024,,,,,,,,,"USD 200,000",Professional
5747,WHARFREIC N2409,Debt Securities,,"2,000",,XS2051470396,16/09/2024,,,,,,,,,"USD 200,000",Professional
5748,CINDA FIN N2405,Debt Securities,,"2,000",,USG2117CAC67,14/05/2024,,,,,,,,,"USD 200,000",Professional
5749,TOWNGAS PSGSB,Debt Securities,,"2,000",,XS1933097633,,,,,,,,,,"USD 200,000",Professional
5750,ICBCMACAU N2909,Debt Securities,,"2,000",,XS2049287548,12/09/2029,,,,,,,,,"USD 200,000",Professional
5751,CEDSI B2202,Debt Securities,,"2,000",,XS1896607311,12/02/2022,,,,,,,,,"USD 200,000",Professional
5752,TENCENT N2001,Debt Securities,,"5,000",,XS1068186227,10/01/2020,,,,,,,,,"HKD 500,000",Professional
